ID;Species;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
121;Children;0.833333333;0.625;0.8096431;0.63;;0.8;;0.81;0.45;0.916666667;0.833333333;0.667
122;Children;1;0.625;0.8231824;0.9;0.74;0.458;;0.73;0.55;0.75;0.833333333;0.5
123;Children;0.666666667;0.25;;0.75;0.7;0.375;;0.71;0.36;;0.916666667;1.000
124;Children;0.5;0.625;0.804036;1;0.57;0.542;0.81;0.86;0.55;0.75;0.416666667;0.5
125;Children;0.5;0.625;;0.38;;0.458;;0.75;0.91;0.916666667;0.25;0.333
126;Children;0.666666667;0.375;;;;;;0.44;0.45;;0.333333333;0.667
127;Children;1;0.75;0.7826292;0.79;0.77;0.583;;;1;0.833333333;0.333333333;0.167
128;Children;0.5;;;;;;;;0.45;;;0.333
129;Children;0.666666667;0.25;;0.58;;;;0.71;;;0.5;0.167
130;Children;0.666666667;0.375;0.7211591;0.54;;0.542;;0.86;0.64;0;0.666666667;0.5
131;Children;1;0.25;;0.64;0.75;;;0.69;0.64;;0.5;0.833
132;Children;0.666666667;0.5;;0.73;0.86;0.5;;0.7;0.55;;1;0.5
133;Children;0.5;0.75;0.7361892;1;0.7;1.000;1;0.86;0.91;0.916666667;1;0.667
134;Children;0.833333333;;;;;;;;0.82;;;0.667
135;Children;0.666666667;0.75;;;;;;0.78;0.27;;;0.833
136;Children;0.666666667;0.375;;;;;;0.88;0.45;;0.833333333;0.5
137;Children;0.666666667;;;;;;;;0.45;;;0.833
138;Children;0.666666667;0.25;;;;;;0.64;0.45;;;0.833
139;Children;0.5;;;;;;;;0.64;;;
140;Children;0.833333333;;;;;;;0.58;0.55;;;0.5
141;Children;0.5;;;;;;;;0.91;;;
143;Children;0.5;;;;;;;;0.5;;;0.667
144;Children;0.833333333;0.625;0.778663;0.8;0.78;0.542;;0.86;0.36;0.833333333;0.5;0
145;Children;1;0.375;0.8382124;1;0.86;1.000;0.89;0.77;0.91;0.916666667;1;0.167
146;Children;0.666666667;0.75;0.6422484;0.78;0.86;0.375;;0.88;0.55;0.75;0.916666667;0.333
147;Children;0.666666667;0.375;0.7959535;0.86;0.63;0.583;;0.78;0.73;0.916666667;0.166666667;0.833
148;Children;0.666666667;0.875;0.8598342;0.88;0.6;0.7;0.97;1;0.91;0.916666667;0.25;0.5
149;Children;0.833333333;0.5;0.7673841;0.78;0.73;0.417;;0.78;0.45;0.833333333;0.25;0.5
150;Children;0.833333333;0.375;0.8286392;0.73;0.86;0.375;;0.76;0.36;0.916666667;1;1.000
151;Children;1;0.5;0.90755;0.54;;0.542;;0.47;0.91;0.916666667;1;0.833
152;Children;0.833333333;1;0.7211591;0.89;0.7;0.583;;0.65;0.55;0.916666667;0.333333333;0.5
153;Children;0.833333333;0.375;0.8517517;0.63;;1.000;;1;1;0.833333333;1;0
154;Children;0.833333333;0.625;;0.78;0.86;0.857;;0.87;0.45;0.5;0.916666667;0.667
155;Children;0.833333333;0.375;0.8557178;0.77;0.86;0.692;0.81;0.78;;0.833333333;0.416666667;0.5
156;Children;0.666666667;0.625;0.865291;0.91;0.86;0.458;;0.75;0.55;0.583333333;0.833333333;1.000
