ID ;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;AdditionalSupportNeeds;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;StoppedEarly;Warm-up.Crit.reached;Trial_Nr;Success;Trial_correct;CumulativeNrCorrectSearches;CumulativeProportionCorrect;Nr.AdministeredTestTrials;Test.NrCorrectTrials;Test.NrErrors;Sanitycheck.NrTrials;ProportionCorrect;Video;Comment;PC1;PC2
22;f;54;4;57;4;no;old;no;;no;yes, within 2 trials;2;yes;1;2;1;8;7;1;8;0.875;ID22_AdditionalTask_Foil_f_4y;;;
22;f;54;4;57;4;no;old;no;;no;yes, within 2 trials;3;yes;1;3;1;8;7;1;8;0.875;ID22_AdditionalTask_Foil_f_4y;;;
22;f;54;4;57;4;no;old;no;;no;yes, within 2 trials;4;yes;1;4;1;8;7;1;8;0.875;ID22_AdditionalTask_Foil_f_4y;;;
22;f;54;4;57;4;no;old;no;;no;yes, within 2 trials;5;yes;1;5;1;8;7;1;8;0.875;ID22_AdditionalTask_Foil_f_4y;;;
22;f;54;4;57;4;no;old;no;;no;yes, within 2 trials;6;yes;1;6;1;8;7;1;8;0.875;ID22_AdditionalTask_Foil_f_4y;;;
22;f;54;4;57;4;no;old;no;;no;yes, within 2 trials;7;no;0;6;0.857142857;8;7;1;8;0.875;ID22_AdditionalTask_Foil_f_4y;;;
22;f;54;4;57;4;no;old;no;;no;yes, within 2 trials;8;yes;1;7;0.875;8;7;1;8;0.875;ID22_AdditionalTask_Foil_f_4y;;;
23;f;51;4;54;4;no;old;no;;no;yes, within 2 trials;1;yes;1;1;1;8;5;3;8;0.625;ID23_AdditionalTask_Foil_f_4y;;0.671;0.376
23;f;51;4;54;4;no;old;no;;no;yes, within 2 trials;2;no;0;1;0.5;8;5;3;8;0.625;ID23_AdditionalTask_Foil_f_4y;;0.671;0.376
23;f;51;4;54;4;no;old;no;;no;yes, within 2 trials;3;yes;1;2;0.666666667;8;5;3;8;0.625;ID23_AdditionalTask_Foil_f_4y;;0.671;0.376
23;f;51;4;54;4;no;old;no;;no;yes, within 2 trials;4;yes;1;3;0.75;8;5;3;8;0.625;ID23_AdditionalTask_Foil_f_4y;;0.671;0.376
23;f;51;4;54;4;no;old;no;;no;yes, within 2 trials;5;yes;1;4;0.8;8;5;3;8;0.625;ID23_AdditionalTask_Foil_f_4y;;0.671;0.376
23;f;51;4;54;4;no;old;no;;no;yes, within 2 trials;6;yes;1;5;0.833333333;8;5;3;8;0.625;ID23_AdditionalTask_Foil_f_4y;;0.671;0.376
23;f;51;4;54;4;no;old;no;;no;yes, within 2 trials;7;no;0;5;0.714285714;8;5;3;8;0.625;ID23_AdditionalTask_Foil_f_4y;;0.671;0.376
23;f;51;4;54;4;no;old;no;;no;yes, within 2 trials;8;no;0;5;0.625;8;5;3;8;0.625;ID23_AdditionalTask_Foil_f_4y;;0.671;0.376
26;m;49;4;52;4;no;old;no;;no;yes, within 2 trials;1;no;0;0;0;8;3;5;8;0.375;ID26_AdditionalTask_Foil_m_4y;;;
26;m;49;4;52;4;no;old;no;;no;yes, within 2 trials;2;yes;1;1;0.5;8;3;5;8;0.375;ID26_AdditionalTask_Foil_m_4y;;;
26;m;49;4;52;4;no;old;no;;no;yes, within 2 trials;3;no;0;1;0.333333333;8;3;5;8;0.375;ID26_AdditionalTask_Foil_m_4y;;;
26;m;49;4;52;4;no;old;no;;no;yes, within 2 trials;4;no;0;1;0.25;8;3;5;8;0.375;ID26_AdditionalTask_Foil_m_4y;;;
26;m;49;4;52;4;no;old;no;;no;yes, within 2 trials;5;no;0;1;0.2;8;3;5;8;0.375;ID26_AdditionalTask_Foil_m_4y;;;
26;m;49;4;52;4;no;old;no;;no;yes, within 2 trials;6;no;0;1;0.166666667;8;3;5;8;0.375;ID26_AdditionalTask_Foil_m_4y;;;
26;m;49;4;52;4;no;old;no;;no;yes, within 2 trials;7;yes;1;2;0.285714286;8;3;5;8;0.375;ID26_AdditionalTask_Foil_m_4y;;;
26;m;49;4;52;4;no;old;no;;no;yes, within 2 trials;8;yes;1;3;0.375;8;3;5;8;0.375;ID26_AdditionalTask_Foil_m_4y;;;
