ID;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;TestingLocation;Trial;StoppedEarly;TotalNr_Rounds;RoundNr;Position;BoxID;Correct;emptied_all_boxes;NrBoxesEmptied;Efficiency;NoSearches_before_FirstError;NoSearches_before_FirstError_numeric;Video;NrBoxesEmptiedDisregardingFirstSearch;NrRoundsDisregardingFirstSearch;EfficiencyDisregardingFirstSearch
5;f;45;3;46;3;young;no information;Fife;2;no;11;10;7;red;no;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
5;f;45;3;46;3;young;no information;Fife;2;no;11;11;5;blue;yes;yes;8;0.727;5;5;ID5_WM_ScrambledBox_f_3y;7;10;0.7
6;m;40;3;40;3;young;no;Fife;1;no;8;1;1;white;yes;yes;8;1;no error;;ID6_WM_ScrambledBox_m_3y;7;7;1
6;m;40;3;40;3;young;no;Fife;1;no;8;2;1;lightblue;yes;yes;8;1;no error;;ID6_WM_ScrambledBox_m_3y;7;7;1
6;m;40;3;40;3;young;no;Fife;1;no;8;3;2;orange;yes;yes;8;1;no error;;ID6_WM_ScrambledBox_m_3y;7;7;1
6;m;40;3;40;3;young;no;Fife;1;no;8;4;4;purple;yes;yes;8;1;no error;;ID6_WM_ScrambledBox_m_3y;7;7;1
6;m;40;3;40;3;young;no;Fife;1;no;8;5;3;yellow;yes;yes;8;1;no error;;ID6_WM_ScrambledBox_m_3y;7;7;1
6;m;40;3;40;3;young;no;Fife;1;no;8;6;5;green;yes;yes;8;1;no error;;ID6_WM_ScrambledBox_m_3y;7;7;1
6;m;40;3;40;3;young;no;Fife;1;no;8;7;7;blue;yes;yes;8;1;no error;;ID6_WM_ScrambledBox_m_3y;7;7;1
6;m;40;3;40;3;young;no;Fife;1;no;8;8;5;red;yes;yes;8;1;no error;;ID6_WM_ScrambledBox_m_3y;7;7;1
6;m;40;3;40;3;young;no;Fife;2;no;9;1;1;yellow;yes;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
6;m;40;3;40;3;young;no;Fife;2;no;9;2;2;purple;yes;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
6;m;40;3;40;3;young;no;Fife;2;no;9;3;1;blue;yes;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
