ID;Gender;Age_months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;TestingLocation;BPVS_Score;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;Nr_Searches_UntilRewardFound (4= did not find);Grid_Choices;2ndTaskCorrect;Comment;choice01;choice01_x;choice01_y;toy_x;toy_y;distance_c01;choice02;choice03;AverageDistanceAcrossTestTrials;Got_Toy (1 = yes, 0 = no);Cumulative_SumofToys_TestTrials;Cumulative_Average_Distance;Video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;3;4;14, 10,9;yes;;14;2;4;3;1;3.1623;10;9;1.254;0;2;1.054;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;4;4;3, 4, 7;yes;;3;3;1;1;3;2.8284;4;7;1.254;0;2;1.498;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;5;2;1, 2;yes;;1;1;1;2;1;1.0000;2;;1.254;1;3;1.398;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;6;4;15, 11, 3;yes;;15;3;4;4;3;1.4142;11;3;1.254;0;3;1.401;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;7;2;6, 10;yes;;6;2;2;2;3;1.0000;10;;1.254;1;4;1.344;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;8;1;15;yes;;15;3;4;3;4;0.0000;;;1.254;1;5;1.176;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;9;3;4, 3, 8;yes;;4;4;1;4;2;1.0000;3;8;1.254;1;6;1.156;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;10;4;4,3,8;yes;1st choice corrected;4;4;1;2;2;2.2361;3;8;1.254;0;6;1.264;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;11;2;12, 11;yes;;12;4;3;3;3;1.0000;11;;1.254;1;7;1.240;no video, experimenter error, accidentally overwrote video;
8;m;58;4;no;58;4;Fife;108;old;no;no;Test;12;3;4, 8, 7;yes;;4;4;1;3;2;1.4142;8;7;1.254;1;8;1.255;no video, experimenter error, accidentally overwrote video;
9;f;40;3;no;41;3;Fife;86;young;no;no;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;0.783;1;;;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Warm-up;2;1;14;;;14;2;4;2;4;0.0000;;;0.783;1;;;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;1;1;5;yes;;5;1;2;1;2;0.0000;;;0.783;1;1;.0;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;2;4;1, 6, 2;yes;;1;1;1;2;4;3.1623;6;2;0.783;0;1;1.581;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;3;2;2, 3;yes;;2;2;1;3;1;1.0000;3;;0.783;1;2;1.387;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;4;1;9;yes;;9;1;3;1;3;0.0000;;;0.783;1;3;1.041;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;5;1;2;yes;;2;2;1;2;1;0.0000;;;0.783;1;4;.832;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;6;4;3, 7, 6;yes;;3;3;1;4;3;2.2361;7;6;0.783;0;4;1.066;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;7;1;10;no;;10;2;3;2;3;0.0000;;;0.783;1;5;.914;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;8;4;11, 10, 9;yes;;11;3;3;3;4;1.0000;10;9;0.783;0;5;.925;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;9;1;8;no;;8;4;2;4;2;0.0000;;;0.783;1;6;.822;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;10;2;2, 6;yes;;2;2;1;2;2;1.0000;6;;0.783;1;7;.840;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;11;1;11;yes;;11;3;3;3;3;0.0000;;;0.783;1;8;.763;ID9_WM_Grid_f_3y;
9;f;40;3;no;41;3;Fife;86;young;no;no;Test;12;4;3, 11, 15;yes;;3;3;1;3;2;1.0000;11;15;0.783;0;8;.783;ID9_WM_Grid_f_3y;
10;m;43;3;no;44;3;Fife;;young;yes;yes;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;;1;;;ID10_WM_Grid_m_3y;
10;m;43;3;no;44;3;Fife;;young;yes;yes;Warm-up;2;1;14;;;14;2;4;2;4;0.0000;;;;1;;;ID10_WM_Grid_m_3y;
10;m;43;3;no;44;3;Fife;;young;yes;yes;Test;1;1;5;yes;;5;1;2;1;2;0.0000;;;0.4;1;1;.0;ID10_WM_Grid_m_3y;
10;m;43;3;no;44;3;Fife;;young;yes;yes;Test;2;1;14;yes;;14;2;4;2;4;0.0000;;;0.4;1;2;.0;ID10_WM_Grid_m_3y;
